NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
HOSPITAL NURSING CARE LTDA;HOSPITAL NURSING CARE;1583;AVENIDA DOUTOR ARTUR BERNARDES;PARQUE ROSÁRIO;CAMPOS DOS GOYTACAZES;RJ;Norte;FISIOTERAPIA / PNEUMOLOGIA  / ANESTESIOLOGIA  / UROLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / FONOAUDIOLOGIA  / GASTROENTEROLOGIA  / ORTOPEDIA E TRAUMATOLOGIA;37041330; 2
OUVIRCLIN FOZ COMERCIO E SERVICOS LTDA;OUVIRCLIN FONOAUDIOLOGIA;289;AVENIDA JUSCELINO KUBITSCHEK;CENTRO;FOZ DO IGUACU;PR;Foz do Iguaçu;FONOAUDIOLOGIA;;
VIRTUOS PSICOLOGIA E GESTAO LTDA;VIRTUOS PSICOLOGIA E GESTAO;1173;RUA PAISSANDU;CENTRO;PASSO FUNDO;RS;CRS 06 Passo Fundo;PSICOLOGIA;;
A R DA SILVA ATIVIDADES DE PSICOLOGIA E TERAPIA LTDA;ESPACO TERAPEUTICO ALINE RODRIGUES;152;RUA SILVA CARDOSO;BANGU;RIO DE JANEIRO;RJ;Metropolitana I;FONOAUDIOLOGIA  / NUTRICAO / PSICOLOGIA;;
A R SPINETTI;A R SPINETTI;1263;AVENIDA PRESIDENTE MEDICI;CENTRO;PEDRA PRETA;MT;Rondonópolis;OFTALMOLOGIA;;
A R SPINETTI;A R SPINETTI;1457;AVENIDA LAILA ZAHRAN;VILA AURORA II;RONDONOPOLIS;MT;Rondonópolis;OFTALMOLOGIA;;
A V TEOLOGIDES E CIA LTDA;CEOOC;4825;RUA NICANOR DOS SANTOS SILVA;ZONA I;UMUARAMA;PR;Umuarama;ORTOPEDIA E TRAUMATOLOGIA  / ANESTESIOLOGIA;30553172;
A. R. DE V. PESSOA PONTES;;101;RUA MANOEL ESTEVÃO;CENTRO;TIANGUA;CE;Tianguá;FISIOTERAPIA;;
ABA INTERVENCOES CLINICA DE TERAPIAS INTEGRADAS LTDA;ABA INTERVENCOES CLINICA DE TERAPIAS INTEGRADAS;618;AFRANIO RODRIGUES DA CUNHA;TABAJARAS;UBERLANDIA;MG;Uberlândia;FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / NUTRICAO;;32315820
ABC CLINICA DE PSICOLOGIA LTDA;PHILLUS CENTRO DE ESPECIALIDADES;216;RUA RIO GRANDE DO SUL;ORFÃS;PONTA GROSSA;PR;Ponta Grossa;NUTRICAO / PSICOLOGIA;;
ABRACCE ESPACO TERAPEUTICO LTDA;ABRACCE ESPACO TERAPEUTICO;933;RUA JOAQUIM ALVES TAVEIRA;VILA AURORA;DOURADOS;MS;NCT de Dourados;FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA;;
ABRACE TERAPIAS ESPECIALIZADAS LTDA;BEATRIZ CORREA FONOAUDIOLOGIA;276;AVENIDA CORONEL JOSÉ SOARES MARCONDES;VILA MARISTELA;PRESIDENTE PRUDENTE;SP;Presidente Prudente;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA  / FISIOTERAPIA;;
AC CLINICA E NEFROLOGIA LTDA;AC CLINICA E NEFROLOGIA;241;PADRE ALMIR NEVES DE MEDEIROS;SOBRADINHO;PATOS DE MINAS;MG;Patos de Minas;NEFROLOGIA;;
ACCEPT SAUDE CARUARU LTDA;ACCEPT CARUARU;800;AVENIDA ADJAR DA SILVA CASÉ;INDIANÓPOLIS;CARUARU;PE;Caruaru;PSICOLOGIA;;
ACCEPT SAUDE LTDA;ACCEPT SAUDE;153;AVENIDA GOVERNADOR AGAMENON MAGALHÃES;SANTO AMARO;RECIFE;PE;Recife;PSICOLOGIA;;
ACCEPT SAUDE PAULISTA LTDA;ACCEPT SAUDE PAULISTA;242;RODOVIA PE-15;CENTRO;PAULISTA;PE;Recife;PSICOLOGIA;;
ACMV MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA;Instituto Crescer Bem;611;SAO JOAQUIM;CENTRO;SAO LEOPOLDO;RS;CRS 01 Porto Alegre;GASTROENTEROLOGIA  / NUTRICAO / PNEUMOLOGIA  / PEDIATRIA;35091694;
ACMV MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA;Instituto Crescer Bem;66;RUA GONÇALVES DIAS;CENTRO;CANOAS;RS;CRS 01 Porto Alegre;GASTROENTEROLOGIA  / NUTRICAO / PNEUMOLOGIA  / PEDIATRIA;35944033;
ACOLHER CLINICA DE PSICOLOGIA E ATENDIMENTOS MULTIPROFISSION;ACOLHER CLINICA DE PSICOLOGIA;203;RUA EDUARDO SANTOS PEREIRA;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;PSICOLOGIA;;
ACOLHER KIDS FISIOTERAPIA E TERAPIAS INTEGRATIVAS LTDA;ACOLHER KIDS FISIOTERAPIA E TERAPIAS INTEGRATIVAS;1149;RUA FELISBERTO CARRIJO;TABAJARA;UBERLANDIA;MG;Uberlândia;FISIOTERAPIA / FONOAUDIOLOGIA;;
ADA OLIVEIRA DE CARVALHO MARQUES E CIA LTDA;CLINICA ADA CARVALHO;212;AVENIDA JATOBÁ;CENTRO;SANTA CRUZ DO CAPIBARIBE;PE;Caruaru;TERAPIA OCUPACIONAL / FISIOTERAPIA / PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PEDIATRIA  / FONOAUDIOLOGIA;;
ADAUTO DE SOUZA GUERRA JUNIOR;ADAUTO GUERRA JR;50;AV OLIMPIO WANDERLY;CENTRO;TRIUNFO;PE;Serra Talhada;FISIOTERAPIA;;
ADRIANA DE NAZARE MIZIARA;ADRIANA DE NAZARE MIZIARA;788;RUA DA CONSTITUIÇÃO;ABADIA;UBERABA;MG;Uberaba;CARDIOLOGIA;33326802;33323506
ADRIANO VASCONCELOS CUNHA;ADRIANO VASCONCELOS CUNHA;323;RUA 83;SETOR SUL;GOIANIA;GO;Central;PSICOLOGIA;;
AF SAUDE LTDA;VIVABEM SAUDE;9012;ESTRADA DE ALDEIA;VERA CRUZ;CAMARAGIBE;PE;Recife;PSICOLOGIA  / NUTRICAO / FISIOTERAPIA;;
