Title;endereco;uf;telefone;contato;cnpj;horario_atend;servicos_of;procedimentos;gerente_uni;gerente_clin;Tipo de Item;Caminho
CliniCASSI Brasilia;SIG, Quadra 4, Lote 417, Brasília (DF) – CEP: 70.610-910;DF;(61) 3424-4600;Fale com a CASSI | Central 0800 729 0080;33.719.485/0060-87;e 2ª a 6ª feira, das 7h às 19h para atendimento em saúde e das 8h às 18h para atendimento administrativo. Sábado das 8 às 14h.;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista, psicólogo e farmacêutica);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC). |

2. Especialidades que apoiam a equipe de APS: Cardiologista, Pediatra, Endocrinologista, Ginecologista e Psiquiatria. |

3. Exame laboratorial. |

4. Saúde do Trabalhador (a). |

5. Perícia Médica. |

6. Administração de imunobiológicos elegíveis para serem aplicados na CliniCASSI (consultar junto a sua equipe da CliniCASSI quais imunobiológicos elegíveis). |";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. |
2. Administração de oxigênio por catéter nasal / Máscara de Venturi. |
3. Aplicação de compressa quente. |
4. Avaliação do pé diabético. |
5. Cateterismo de alívio. |
6. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley. |
7. Cauterização química de pequenas lesões de pele e mucosa. |
8. Cirurgia da unha (cantoplastia e/ou cantotomia). |
9. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. |
10. Coleta para exame citopatológico cérvico-vaginal. |
11. Controle/Aferição sinais vitais e antropometria. |
12. Curativo em Ferida simples. |
13. Drenagem de hematoma subungueal. |
14. Eletrocardiograma |
15. Estesiometria |
16. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas. |
17. Exérese de calosidades, cistos e lipomas. |
18. Exérese de nevos. 
19. Imobilização Provisória. |
20. Incisão e drenagem de abcessos. |
21. Inserção e remoção de DIU. 
22. Lavagem auditiva e remoção de cerume. |
23. Nebulização/inalação. 
24. Realização de Glicemia Capilar. |
25. Realização de teste de glicemia capilar. |
26. Remoção de molusco contagioso. |
27. Retirada de Dermatobiose Penetrar (Berne ou Miiase). |
28. Retirada de pontos. |
29. Retirada de Tunga Penetrans (Bicho de pé). |
30. Retirada/remoção de corpo estranho em diferentes tecidos, mucosas e peças anatômicas. |
31. Suporte Básico de Vida – SBV. |
32. Tamponamento de Epistaxe. |
33. Tratamento/cuidado de queimaduras (exceto grandes queimados). |
34. Troca de bolsa de colostomia / ileostomia.|";Lucineide Barbosa de Melo;Mariana Borges do Nascimento;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Maceió;Av. Dr. Antônio Gomes de Barros, 625 – Ed. The Square – SL 101 – Jatiuca – Maceió – AL – 57036-000;AL;(82) 3202-5797;;33.719.485/0017-94;de 2ª a 6ª feira, das 8 às 18h;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social e psicólogo)|
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde|
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC)|
2. Especialidades que apoiam a equipe de APS: Pediatra, Ginecologista e Psiquiatra|
3. Saúde do Trabalhador (a)|
4. Perícia Médica|";;Myla Karina da S Cunha Farias;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Edifício Banco do Brasil;SAUN – Quadra 5 – Bloco B – Torre Norte, Ala Oeste – 9º andar – Edifício Banco do Brasil CEP-70040-912;DF;Fale com a CASSI | Central 0800 729 0080;;33.719.485/0028-47;8h às 19h45 (segunda a sexta);"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (nutricionista e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC) Trabalhador).
2. Saúde do Trabalhador (a).";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.  
2. Administração de oxigênio por catéter nasal / Máscara de Venturi.  
3. Aplicação de compressa quente.  
4. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley.  
5. Curativo em Ferida simples.  
6. Drenagem de hematoma subungueal.  
7. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas.  
8. Exérese de calosidades, cistos e lipomas.  
9. Exérese de nevos.  
10. Lavagem auditiva e remoção de cerume.  
11. Nebulização/inalação.  
12. Remoção de molusco contagioso.  
13. Retirada de Dermatobiose Penetrar (Berne ou Miiase).  
14. Retirada de pontos.  
15. Retirada de Tunga Penetrans (Bicho de pé).  
16. Tamponamento de Epistaxe.  
17. Tratamento/cuidado de queimaduras (exceto grandes queimados).  
18. Troca de bolsa de colostomia / ileostomia.  
19. Avaliação do pé diabético.  
20. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical.  
21. Coleta para exame citopatológico cérvico-vaginal.  
22. Controle/Aferição sinais vitais e antropometria.  
23. Eletrocardiografia.  
24. Realização de teste de glicemia capilar. 
25. Cirurgia da unha (cantoplastia e/ou cantotomia).  
26. Retirada/remoção de corpo estranho em diferentes tecidos, mucosas e peças anatômicas.  
27. Imobilização Provisória.  
28. Cateterismo de alívio.  
29. Realização de Glicemia Capilar.";Lucineide Barbosa de Melo;Leticia Freire Santana ;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Sorocaba;Rua Eulália Silva, casa, nº 243, Jardim Faculdade, Sorocaba (SP) – CEP: 18030-230;SP;(15) 3010-1520;Fale com a CASSI | Central 0800 729 0080;33.719.485/0052-77;de 2ª a 6ª feira, das 8 às 18h;"1. Atenção Primaria à saude (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).";"1. Curativo em Ferida simples. 
2. Incisão e drenagem de abcessos. 
3 Lavagem auditiva e remoção de cerume. 
4. Retirada de pontos. 
5. Tratamento/cuidado de queimaduras (exceto grandes queimados). 
6. Avaliação do pé diabético. 
7. Coleta para exame citopatológico cérvico-vaginal. 
8. Controle/Aferição sinais vitais e antropometria. 
9. Realização de teste de glicemia capilar.";Marcelo Callai Costa Beber;Cláudia Souza de Paula;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Rio Branco;Rua Quintino Bocaiúva, nº 1790, Bosque, Rio Branco (AC) – CEP: 69.900-670;AC;(68) 3303-8150;Fale com a CASSI | Central 0800 729 0080;33.719.485/0044-67;de 2ª a 6ª feira, das 7h30 às 17h30;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro e equipe multiprofissional (assistente social, psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do(a) Trabalhador(a).";"1. Nebulização/inalação. 
2. Retirada de pontos. 
3. Coleta para exame citopatológico cérvico-vaginal. 
4. Controle/Aferição sinais vitais e antropometria. 
5. Realização de teste de glicemia capilar. 
6. Curativo em Ferida simples. 
7. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.";Andressa Renaje de O Melo Carneiro;Barbara Denise Faustino Dantas;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Macapá;"Rodovia Duca Serra Km 01 , S/N – Complexo da AABB – Alvorada – Macapá – AP – 68906-698
Telefone: (96) 3213-6160";AP;(96) 3213-6160;Fale com a CASSI | Central 0800 729 0080;33.719.485/0042-03;de 2ª a 6ª feira, das 8 às 18h;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, e equipe multiprofissional (assistente social e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).
3. Perícia Médica.";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 
2. Hidratação Venosa. 
3. Curativo em Ferida simples. 
4. Lavagem auditiva e remoção de cerume. 
5. Nebulização/inalação. 
6. Avaliação do pé diabético. 
7. Coleta para exame citopatológico cérvico-vaginal. 
8. Controle/Aferição sinais vitais. 
9. Realização de teste de glicemia capilar. 
10. Retirada de pontos. 11. Cateterismo Vesical de Alívio. 
12. Cateterismo Vesical de Demora (Passagem/troca) / Troca de sonda de Folley. 
13. Aplicação de Compressa quente.";Almira Lucia Leal de Oliveira;Isailde Brito do Rosario;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Manaus;Av. Senador Álvaro Maia, 1286 – Frente ao Hospital Prontoncord – Praça 14 de janeiro – Manaus – AM – 69020-210;AM;(92) 3199-7120;Fale com a CASSI | Central 0800 729 0080;33.719.485/0016-03;de 2ª a 6ª feira, das 8 às 18h;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, e equipe multiprofissional (assistente social,e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC ).
2. Saúde do Trabalhador.
3. Perícia Médica.";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 
2. Hidratação venosa. 
3. Aplicação de Compressa quente e fria. 
4. Cateterismo Vesical de Alívio. 
5. Curativo em Ferida simples. 
6. Lavagem auditiva e remoção de cerume. 
7. Nebulização/inalação. 
8. Retirada de pontos. 
9. Avaliação do pé diabético. 
10. Controle/Aferição sinais vitais e antropometria. 
11. Realização de teste de glicemia capilar.";Rosimeire Neves Barbosa;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Palmas;Quadra 103 Norte, Av. L-2, 74 – Lote – Plano Diretor Norte – Palmas – TO – 77001-022;TO;(63) 3233-1500;Fale com a CASSI | Central 0800 729 0080;33.719.485/0055-10;de 2ª a 6ª feira, das 8 às 14h;"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.
2. Curativo em Ferida simples.
3. Drenagem de hematoma subungueal. 
4. Lavagem auditiva e remoção de cerume. 
5. Nebulização/inalação.  
6. Retirada de pontos.  
7. Avaliação do pé diabético.  
8. Coleta para exame citopatológico cérvico-vaginal.  
9. Controle/Aferição sinais vitais e antropometria.  
10. Realização de teste de glicemia capilar. 
11. Remoção de molusco contagioso.  
12. Tratamento/cuidado de queimaduras (exceto grandes queimados).  
13. Colocação de imobilização provisória (colar cervical e tipoia).  
14. Incisão e drenagem de abcessos. 
15. Retirada de Tunga Penetrans (Bicho de pé).  
16. Retirada de Dermatobiose Penetrar (Berne ou Miiase).  
17. Tamponamento de Epistaxe.  
18. Troca de bolsa de colostomia / ileostomia.  
19. Cateterismo Vesical de Alívio.";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.
2. Curativo em Ferida simples.
3. Drenagem de hematoma subungueal. 
4. Lavagem auditiva e remoção de cerume. 
5. Nebulização/inalação.  
6. Retirada de pontos.  
7. Avaliação do pé diabético.  
8. Coleta para exame citopatológico cérvico-vaginal.  
9. Controle/Aferição sinais vitais e antropometria.  
10. Realização de teste de glicemia capilar. 
11. Remoção de molusco contagioso.  
12. Tratamento/cuidado de queimaduras (exceto grandes queimados).  
13. Colocação de imobilização provisória (colar cervical e tipoia).  
14. Incisão e drenagem de abcessos. 
15. Retirada de Tunga Penetrans (Bicho de pé).  
16. Retirada de Dermatobiose Penetrar (Berne ou Miiase).  
17. Tamponamento de Epistaxe.  
18. Troca de bolsa de colostomia / ileostomia.  
19. Cateterismo Vesical de Alívio.";Cristiane Reis Santos;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade Responsável – CASSI Goiás;Rua T-50, 566, Setor Bueno – Goiânia (GO) – CEP 74.215-200;TO;;Fale com a CASSI;33.719.485/0013-60;de 2ª a 6ª feira, das 8h às 18h;"Serviços Oferecidos na CliniCASSI:
1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Pediatra, Ginecologista e Psiquiatra;
3. Saúde do Trabalhador (a);
4. Perícia Médica.
";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 
2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 
3. Aplicação de compressa quente. 
4. Cateterismo Vesical de Alívio. 
5. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley. 
6. Curativo em Ferida simples. 
7. Lavagem auditiva e remoção de cerume. 
8. Nebulização/inalação. 
9. Retirada de pontos. 
10. Tamponamento de Epistaxe. 
11. Tratamento/cuidado de queimaduras (exceto grandes queimados). 
12. Troca de bolsa de colostomia / ileostomia. 
13. Avaliação do pé diabético. 
14. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 
15. Coleta para exame citopatológico cérvico-vaginal. 
16. Controle/Aferição sinais vitais e antropometria. 
17. Eletrocardiografia. 
18. Realização de teste de glicemia capilar. 
19. Colocação de imobilização provisória (colar cervical e tipoia). 
20. Remoção de molusco contagioso. 
21. Retirada de Tunga Penetrans (Bicho de pé). 
22. Incisão e drenagem de abcessos. 
23. Remoção de molusco contagioso. 
24. Retirada de Dermatobiose Penetrar (Berne ou Miiase). 
25. Inserção de DIU.";Gerente da Unidade – Myla Karina da S Cunha Farias;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Maceió; Av. Dr. Antônio Gomes de Barros, 625 – Ed. The Square – SL 101 – Jatiuca – Maceió – AL – 57036-000;AL;(82) 3202-5797;Fale com a CASSI | Central 0800 729 0080;33.719.485/0017-94;de 2ª a 6ª feira, das 8 às 18h;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Pediatra, Ginecologista e Psiquiatra;
3. Saúde do Trabalhador (a);
4. Perícia Médica.
";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 
2. Administração de oxigênio por catéter nasal / Máscara de Venturi. 
3. Aplicação de compressa quente. 
4. Cateterismo Vesical de Alívio. 
5. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley. 
6. Curativo em Ferida simples. 
7. Lavagem auditiva e remoção de cerume. 
8. Nebulização/inalação. 
9. Retirada de pontos. 
10. Tamponamento de Epistaxe. 
11. Tratamento/cuidado de queimaduras (exceto grandes queimados). 
12. Troca de bolsa de colostomia / ileostomia. 
13. Avaliação do pé diabético. 
14. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. 
15. Coleta para exame citopatológico cérvico-vaginal. 
16. Controle/Aferição sinais vitais e antropometria. 
17. Eletrocardiografia. 
18. Realização de teste de glicemia capilar. 
19. Colocação de imobilização provisória (colar cervical e tipoia). 
20. Remoção de molusco contagioso. 
21. Retirada de Tunga Penetrans (Bicho de pé). 
22. Incisão e drenagem de abcessos. 
23. Remoção de molusco contagioso. 
24. Retirada de Dermatobiose Penetrar (Berne ou Miiase). 
25. Inserção de DIU.";;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
