NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
EVOLUIREE CENTRO MULTIDISCIPLINAR PARA ANALISE E INTERVENCAO;EVOLUIREE CENTRO MULTIDISCIPLINAR;Nome;19010-170;143;AVENIDA GETÚLIO VARGAS;BOSQUE;PRESIDENTE PRUDENTE;SP;Presidente Prudente;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA;;;;;18;997325055;12/03/2025 00:00
54.256.563 AMANDA RAQUEL NOVAES GOMES - ME;ESPACO ACOLHER;Nome;56903-440;734;RUA CORONEL CORNÉLIO SOARES;NOSSA SENHORA DA PENHA;SERRA TALHADA;PE;Serra Talhada;PSICOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA;;;;;87;988578212;11/27/2025 12:00:00 AM
GILBERTO RAMALHO FRANCO JUNIOR;;Nome;49026-209;383;AVENIDA HÉLIO DE SOUZA LEÃO;JARDINS;ARACAJU;SE;Região Aracaju;DERMATOLOGIA;;;;;79;981512918;11/26/2025 12:00:00 AM
NAYRA VALDETE ANDRADE VASCONCELOS;NAYRA VALDETE ANDRADE VASCONCELOS;Nome;49015-220;671;CAMPOS;SAO JOSE;ARACAJU;SE;Região Aracaju;PEDIATRIA  / ALERGIA E IMUNOLOGIA;;;;;79;996430470;11/26/2025 12:00:00 AM
CLINICA ENCANTO - DESENVOLVIMENTO INFANTIL LTDA;ENCANTO DESENVOLVIMENTO INFANTIL;Nome;48601-195;915;APOLÔNIO SALES;CENTRO;PAULO AFONSO;BA;Paulo Afonso;PSICOLOGIA;;;;;75;999313915;11/25/2025 12:00:00 AM
VANESSA ROCHA DE SANTANA;VANESSA ROCHA DE SANTANA;Nome;49026-209;383;AVENIDA HÉLIO DE SOUZA LEÃO;JARDINS;ARACAJU;SE;Região Aracaju;CLÍNICA MÉDICA / DERMATOLOGIA;;;;;79;999970785;11/25/2025 12:00:00 AM
CLINICA DE FISIOTERAPIA E HIDROTERAPIA DE CASA FORTE LTDA;FISIOCLINICA PHYSIO CENTER;Nome;52060-590;153;AVENIDA DEZESSETE DE AGOSTO;PARNAMIRIM;RECIFE;PE;Recife;FISIOTERAPIA;81;32689013;;;;;11/25/2025 12:00:00 AM
INEURO INSTITUTO NEUROLOGICO LTDA;INEURO;Nome;77015-558;2;ACSU SO 40 AVENIDA LO 11;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;NEUROLOGIA;;;;;63;991063555;11/25/2025 12:00:00 AM
RECRIAR II ANALISE DO COMPORTAMENTO LTDA;RECRIAR;Nome;77020-490;0;QUADRA ARSE 21 ALAMEDA 1;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;;;;63;999723028;11/25/2025 12:00:00 AM
REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA;BP MIRANTE;Fantasia;01321-001;965;RUA MARTINIANO DE CARVALHO;BELA VISTA;SAO PAULO;SP;Grande São Paulo;ANESTESIOLOGIA  / RADIOTERAPIA  / ONCOLOGIA CLÍNICA / CLÍNICA MÉDICA / DERMATOLOGIA   / CIRURGIA GERAL  / OTORRINOLARINGOLOGIA  / MEDICINA NUCLEAR  / NEFROLOGIA  / CARDIOLOGIA  / CANCEROLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / ANGIOLOGIA E CIRURGIA VASCULAR   / OFTALMOLOGIA  / ANGIOLOGIA / COLOPROCTOLOGIA / UROLOGIA  / PATOLOGIA / CIRURGIA TORACICA  / MEDICINA FISICA E REABILITACAO  / INFECTOLOGIA  / CIRURGIA PEDIATRICA  / PEDIATRIA  / CIRURGIA CARDIOVASCULAR  / CIRURGIA DO APARELHO DIGESTIVO / NEUROCIRURGIA  / CIRURGIA ONCOLÓGICA / NEUROLOGIA  / GERIATRIA   / ENDOSCOPIA / CIRURGIA PLÁSTICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / REUMATOLOGIA  / CIRURGIA VASCULAR / MEDICINA INTENSIVA / GINECOLOGIA E OBSTETRICIA  / HEMATOLOGIA E HEMOTERAPIA / GASTROENTEROLOGIA  / ALERGIA E IMUNOLOGIA  / MASTOLOGIA  / NUTROLOGIA / ENDOCRINOLOGIA E METABOLOGIA / PNEUMOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO;11;35051000;;;;;11/24/2025 12:00:00 AM
